r,c,prob,yhat_raw,yhat_clustered
516,832,0.47808879698220846,1,0
346,689,0.4694604910086562,1,0
221,531,0.24835516940242627,0,0
539,1151,0.24835516940242627,0,0
681,1058,0.22082492003686105,0,0
221,631,0.2582129682261909,1,0
112,335,0.2261215302063526,0,0
167,572,0.19084154091162786,0,0
319,550,0.47808879698220846,1,0
431,783,0.586845606287338,1,0
127,509,0.2582129682261909,1,0
669,1017,0.23695419144575827,0,0
123,393,0.23695419144575827,0,0
123,384,0.2582129682261909,1,0
203,558,0.24835516940242627,0,0
357,717,0.47808879698220846,1,0
183,405,0.23695419144575827,0,0
374,735,0.48225914541021514,1,0
181,527,0.4221270676437861,1,0
687,960,0.22082492003686105,0,0
788,1061,0.47808879698220846,1,0
695,1075,0.274823048902166,1,0
154,646,0.23695419144575827,0,0
152,503,0.23695419144575827,0,0
334,724,0.47808879698220846,1,0
725,1018,0.3174890496141043,1,0
303,655,0.4694604910086562,1,0
714,953,0.274823048902166,1,0
592,1034,0.2582129682261909,1,0
637,1012,0.23695419144575827,0,0
606,1064,0.23695419144575827,0,0
648,1093,0.24835516940242627,0,0
238,654,0.3233538991083562,1,0
195,596,0.3074087150092275,1,0
562,1002,0.23806783768652315,0,0
621,1124,0.47808879698220846,1,0
596,875,0.40895403826681276,1,0
164,532,0.2582129682261909,1,0
125,510,0.304549147541327,1,0
686,1060,0.22082492003686105,0,0
722,989,0.304549147541327,1,0
84,671,0.22082492003686105,0,0
94,702,0.2582129682261909,1,0
238,646,0.3233538991083562,1,0
613,869,0.6591463414634147,1,0
292,766,0.47808879698220846,1,0
346,702,0.47808879698220846,1,0
552,923,0.2582129682261909,1,0
267,641,0.274823048902166,1,0
178,374,0.23695419144575827,0,0
115,480,0.24835516940242627,0,0
221,668,0.3233538991083562,1,0
148,517,0.23695419144575827,0,0
478,853,0.48225914541021514,1,0
694,963,0.1725089823262576,0,0
676,1102,0.40895403826681276,1,0
315,713,0.47808879698220846,1,0
282,712,0.40895403826681276,1,0
790,1041,0.40895403826681276,1,0
189,579,0.23695419144575827,0,0
603,926,0.304549147541327,1,0
602,1033,0.2582129682261909,1,0
631,1030,0.23695419144575827,0,0
733,1060,0.47808879698220846,1,0
650,912,0.24835516940242627,0,0
266,676,0.3568055862917513,1,0
727,999,0.2780401076240432,1,0
223,628,0.2985589897269709,1,0
284,633,0.304549147541327,1,0
709,1085,0.47808879698220846,1,0
226,557,0.3233538991083562,1,0
150,531,0.23806783768652315,0,0
667,1035,0.23695419144575827,0,0
522,873,0.47808879698220846,1,0
316,587,0.4694604910086562,1,0
438,788,0.586845606287338,1,0
803,1063,0.47808879698220846,1,0
525,825,0.47808879698220846,1,0
218,553,0.23695419144575827,0,0
572,961,0.24835516940242627,0,0
576,992,0.23695419144575827,0,0
566,876,0.4694604910086562,1,0
547,827,0.586845606287338,1,0
611,1072,0.23695419144575827,0,0
199,405,0.23695419144575827,0,0
531,1125,0.2582129682261909,1,0
626,983,0.2261215302063526,0,0
85,396,0.24835516940242627,0,0
70,361,0.23695419144575827,0,0
647,1122,0.48225914541021514,1,0
582,1130,0.2582129682261909,1,0
562,1140,0.2582129682261909,1,0
629,953,0.23695419144575827,0,0
726,1110,0.586845606287338,1,0
160,497,0.23695419144575827,0,0
103,702,0.2582129682261909,1,0
673,1060,0.22082492003686105,0,0
126,429,0.24835516940242627,0,0
352,729,0.47808879698220846,1,0
198,494,0.2582129682261909,1,0
402,753,0.6591463414634147,1,0
581,862,0.47808879698220846,1,0
356,587,0.47808879698220846,1,0
282,557,0.47808879698220846,1,0
518,822,0.47808879698220846,1,0
168,432,0.23695419144575827,0,0
197,615,0.274823048902166,1,0
685,939,0.2582129682261909,1,0
139,530,0.23695419144575827,0,0
333,612,0.40895403826681276,1,0
704,954,0.23695419144575827,0,0
548,823,0.6144684291185698,1,0
728,992,0.304549147541327,1,0
131,435,0.2261215302063526,0,0
181,415,0.24835516940242627,0,0
121,641,0.22030965886631354,0,0
557,1155,0.2582129682261909,1,0
102,433,0.19084154091162786,0,0
116,686,0.304549147541327,1,0
631,1133,0.4694604910086562,1,0
516,855,0.47808879698220846,1,0
708,1099,0.4694604910086562,1,0
620,969,0.22082492003686105,0,0
216,423,0.586845606287338,1,0
66,346,0.24835516940242627,0,0
358,585,0.5768774200836244,1,0
712,947,0.2582129682261909,1,0
453,783,0.6623514696685427,1,0
554,987,0.24835516940242627,0,0
602,1043,0.24835516940242627,0,0
164,542,0.23695419144575827,0,0
211,374,0.24835516940242627,0,0
663,909,0.24835516940242627,0,0
533,1081,0.2582129682261909,1,0
174,358,0.24835516940242627,0,0
667,1098,0.23806783768652315,0,0
799,1075,0.586845606287338,1,0
286,649,0.304549147541327,1,0
530,828,0.47808879698220846,1,0
343,708,0.47808879698220846,1,0
251,633,0.304549147541327,1,0
196,578,0.23695419144575827,0,0
591,985,0.23695419144575827,0,0
97,680,0.274823048902166,1,0
768,1017,0.274823048902166,1,0
591,1025,0.2582129682261909,1,0
306,614,0.4694604910086562,1,0
604,1006,0.24835516940242627,0,0
148,464,0.23695419144575827,0,0
230,691,0.4684188243419896,1,0
695,917,0.3233538991083562,1,0
559,837,0.586845606287338,1,0
660,1019,0.23695419144575827,0,0
513,794,0.586845606287338,1,0
551,934,0.24835516940242627,0,0
697,942,0.24835516940242627,0,0
301,578,0.4089318905266205,1,0
296,566,0.304549147541327,1,0
254,545,0.3233538991083562,1,0
742,965,0.24835516940242627,0,0
764,1048,0.47808879698220846,1,0
731,1060,0.4684188243419896,1,0
689,1040,0.22082492003686105,0,0
219,658,0.274823048902166,1,0
287,627,0.3233538991083562,1,0
764,1103,0.42767594374315887,1,0
736,1041,0.274823048902166,1,0
264,607,0.2985589897269709,1,0
140,355,0.304549147541327,1,0
165,433,0.2261215302063526,0,0
249,652,0.40895403826681276,1,0
679,929,0.3233538991083562,1,0
634,1025,0.23695419144575827,0,0
774,1001,0.47808879698220846,1,0
250,647,0.274823048902166,1,0
135,434,0.2261215302063526,0,0
126,511,0.2582129682261909,1,0
705,1011,0.1725089823262576,0,0
509,809,0.47453741124491594,1,0
220,658,0.2582129682261909,1,0
580,911,0.2582129682261909,1,0
175,558,0.22082492003686105,0,0
668,931,0.23695419144575827,0,0
540,846,0.47808879698220846,1,0
586,1122,0.2582129682261909,1,0
591,1060,0.24835516940242627,0,0
162,631,0.24835516940242627,0,0
713,973,0.2261215302063526,0,0
520,823,0.47808879698220846,1,0
152,381,0.3233538991083562,1,0
808,1080,0.586845606287338,1,0
624,880,0.4684188243419896,1,0
665,1113,0.2582129682261909,1,0
158,528,0.304549147541327,1,0
275,691,0.4684188243419896,1,0
652,906,0.2582129682261909,1,0
149,386,0.2985589897269709,1,0
527,900,0.3233538991083562,1,0
156,386,0.304549147541327,1,0
579,926,0.2582129682261909,1,0
114,462,0.1725089823262576,0,0
656,1022,0.23695419144575827,0,0
180,425,0.23806783768652315,0,0
408,710,0.586845606287338,1,0
742,1105,0.48043520707997905,1,0
372,749,0.586845606287338,1,0
234,529,0.24835516940242627,0,0
607,1106,0.2582129682261909,1,0
164,410,0.23695419144575827,0,0
113,377,0.2582129682261909,1,0
409,745,0.586845606287338,1,0
709,984,0.23695419144575827,0,0
657,1029,0.2261215302063526,0,0
582,965,0.23695419144575827,0,0
146,460,0.23695419144575827,0,0
183,497,0.23695419144575827,0,0
578,915,0.2582129682261909,1,0
232,383,0.24835516940242627,0,0
138,536,0.23695419144575827,0,0
113,391,0.24835516940242627,0,0
109,328,0.23695419144575827,0,0
447,755,0.586845606287338,1,0
447,807,0.6591463414634147,1,0
123,491,0.2582129682261909,1,0
782,1079,0.47808879698220846,1,0
559,1066,0.24835516940242627,0,0
496,871,0.47808879698220846,1,0
87,682,0.2582129682261909,1,0
92,398,0.274823048902166,1,0
356,762,0.47808879698220846,1,0
633,1019,0.23695419144575827,0,0
429,738,0.586845606287338,1,0
550,1127,0.24835516940242627,0,0
271,689,0.4684188243419896,1,0
152,544,0.2582129682261909,1,0
137,399,0.24835516940242627,0,0
611,994,0.23695419144575827,0,0
772,1068,0.304549147541327,1,0
528,911,0.43050332469553987,1,0
712,963,0.23695419144575827,0,0
633,1007,0.23695419144575827,0,0
667,1054,0.23695419144575827,0,0
554,942,0.2582129682261909,1,0
602,965,0.23695419144575827,0,0
312,733,0.47808879698220846,1,0
746,1056,0.47808879698220846,1,0
706,1054,0.2261215302063526,0,0
579,938,0.24835516940242627,0,0
146,501,0.2261215302063526,0,0
76,319,0.24835516940242627,0,0
107,440,0.24835516940242627,0,0
592,1000,0.23695419144575827,0,0
286,603,0.304549147541327,1,0
555,964,0.24835516940242627,0,0
516,928,0.3233538991083562,1,0
500,882,0.47808879698220846,1,0
366,704,0.47808879698220846,1,0
702,1074,0.2582129682261909,1,0
602,1107,0.2582129682261909,1,0
677,910,0.2582129682261909,1,0
282,705,0.42767594374315887,1,0
417,782,0.586845606287338,1,0
206,582,0.3233538991083562,1,0
719,917,0.586845606287338,1,0
829,1068,0.586845606287338,1,0
278,663,0.274823048902166,1,0
605,919,0.40895403826681276,1,0
558,1059,0.24835516940242627,0,0
690,955,0.24835516940242627,0,0
617,879,0.42767594374315887,1,0
184,663,0.23695419144575827,0,0
619,959,0.23695419144575827,0,0
119,410,0.19084154091162786,0,0
531,1039,0.2816575812762667,1,0
124,422,0.24835516940242627,0,0
670,938,0.23733558077653857,0,0
369,708,0.586845606287338,1,0
717,1011,0.23695419144575827,0,0
137,445,0.2261215302063526,0,0
133,667,0.23695419144575827,0,0
695,913,0.304549147541327,1,0
181,583,0.22082492003686105,0,0
484,818,0.6182372505543237,1,0
583,960,0.23806783768652315,0,0
597,1097,0.2582129682261909,1,0
241,528,0.40895403826681276,1,0
343,696,0.47808879698220846,1,0
516,930,0.4221270676437861,1,0
578,1007,0.24835516940242627,0,0
547,1123,0.24835516940242627,0,0
62,354,0.23695419144575827,0,0
155,429,0.2261215302063526,0,0
488,869,0.47808879698220846,1,0
657,975,0.23695419144575827,0,0
817,1085,0.586845606287338,1,0
264,682,0.47808879698220846,1,0
677,1028,0.22082492003686105,0,0
631,1080,0.23695419144575827,0,0
687,1081,0.2582129682261909,1,0
495,796,0.47808879698220846,1,0
385,742,0.6591463414634147,1,0
282,623,0.3174890496141043,1,0
689,990,0.22149221798982802,0,0
716,978,0.23695419144575827,0,0
174,461,0.4694604910086562,1,1
174,462,0.3701134803561724,1,1
174,463,0.3701134803561724,1,1
174,464,0.274823048902166,1,1
174,465,0.304549147541327,1,1
174,466,0.304549147541327,1,1
174,467,0.304549147541327,1,1
174,468,0.2582129682261909,1,1
