date,r,c,y
2025-01-28,54,306,0
2025-01-28,58,345,0
2025-01-28,63,364,0
2025-01-28,81,310,0
2025-01-28,94,317,0
2025-01-28,102,318,0
2025-01-28,82,337,0
2025-01-28,82,353,0
2025-01-28,96,332,0
2025-01-28,96,362,0
2025-01-28,101,340,0
2025-01-28,115,333,0
2025-01-28,121,336,0
2025-01-28,127,347,0
2025-01-28,81,386,0
2025-01-28,90,407,0
2025-01-28,91,418,0
2025-01-28,99,414,0
2025-01-28,126,420,0
2025-01-28,127,421,0
2025-01-28,113,462,0
2025-01-28,119,458,0
2025-01-28,124,486,0
2025-01-28,125,478,0
2025-01-28,78,672,0
2025-01-28,101,703,0
2025-01-28,109,671,0
2025-01-28,112,675,0
2025-01-28,122,688,0
2025-01-28,123,662,0
2025-01-28,126,654,0
2025-01-28,127,669,0
2025-01-28,114,710,0
2025-01-28,120,709,0
2025-01-28,130,381,0
2025-01-28,147,377,0
2025-01-28,169,374,0
2025-01-28,186,366,0
2025-01-28,129,391,0
2025-01-28,129,412,0
2025-01-28,135,390,0
2025-01-28,140,411,0
2025-01-28,141,400,0
2025-01-28,145,429,0
2025-01-28,146,392,0
2025-01-28,152,407,0
2025-01-28,152,420,0
2025-01-28,154,414,0
2025-01-28,164,434,0
2025-01-28,166,445,0
2025-01-28,170,445,0
2025-01-28,174,433,0
2025-01-28,130,492,0
2025-01-28,136,468,0
2025-01-28,139,459,0
2025-01-28,157,501,0
2025-01-28,158,466,0
2025-01-28,168,471,0
2025-01-28,170,448,0
2025-01-28,179,481,0
2025-01-28,141,542,0
2025-01-28,143,533,0
2025-01-28,152,573,0
2025-01-28,157,520,0
2025-01-28,158,564,0
2025-01-28,161,563,0
2025-01-28,163,547,0
2025-01-28,164,544,0
2025-01-28,171,536,0
2025-01-28,180,543,0
2025-01-28,190,518,0
2025-01-28,151,635,0
2025-01-28,157,608,0
2025-01-28,163,588,0
2025-01-28,174,584,0
2025-01-28,180,622,0
2025-01-28,128,690,0
2025-01-28,133,660,0
2025-01-28,145,666,0
2025-01-28,151,644,0
2025-01-28,161,645,0
2025-01-28,161,665,0
2025-01-28,170,651,0
2025-01-28,176,674,0
2025-01-28,177,679,0
2025-01-28,191,664,0
2025-01-28,135,716,0
2025-01-28,179,730,0
2025-01-28,191,728,0
2025-01-28,198,357,0
2025-01-28,212,382,0
2025-01-28,234,374,0
2025-01-28,210,426,0
2025-01-28,195,472,0
2025-01-28,200,497,0
2025-01-28,206,533,0
2025-01-28,211,550,0
2025-01-28,217,513,0
2025-01-28,219,559,0
2025-01-28,225,546,0
2025-01-28,227,560,0
2025-01-28,230,558,0
2025-01-28,231,519,0
2025-01-28,237,537,0
2025-01-28,238,536,0
2025-01-28,241,552,0
2025-01-28,246,545,0
2025-01-28,255,562,0
2025-01-28,255,571,0
2025-01-28,193,584,0
2025-01-28,196,603,0
2025-01-28,197,612,0
2025-01-28,219,620,0
2025-01-28,221,616,0
2025-01-28,223,603,0
2025-01-28,226,621,0
2025-01-28,232,622,0
2025-01-28,241,605,0
2025-01-28,242,611,0
2025-01-28,250,613,0
2025-01-28,209,648,0
2025-01-28,214,651,0
2025-01-28,216,644,0
2025-01-28,219,643,0
2025-01-28,229,660,0
2025-01-28,231,653,0
2025-01-28,235,670,0
2025-01-28,236,671,0
2025-01-28,245,667,0
2025-01-28,198,714,0
2025-01-28,200,717,0
2025-01-28,208,705,0
2025-01-28,216,716,0
2025-01-28,216,718,0
2025-01-28,257,561,0
2025-01-28,268,566,0
2025-01-28,277,567,0
2025-01-28,288,573,0
2025-01-28,313,575,0
2025-01-28,272,584,0
2025-01-28,288,606,0
2025-01-28,295,623,0
2025-01-28,319,598,0
2025-01-28,259,655,0
2025-01-28,261,646,0
2025-01-28,264,659,0
2025-01-28,282,649,0
2025-01-28,283,696,0
2025-01-28,285,665,0
2025-01-28,285,671,0
2025-01-28,286,656,0
2025-01-28,299,641,0
2025-01-28,313,681,0
2025-01-28,314,656,0
2025-01-28,314,689,0
2025-01-28,319,693,0
2025-01-28,271,743,0
2025-01-28,283,753,0
2025-01-28,288,740,0
2025-01-28,290,715,0
2025-01-28,294,766,0
2025-01-28,311,725,0
2025-01-28,308,769,0
2025-01-28,317,770,0
2025-01-28,332,557,0
2025-01-28,334,565,0
2025-01-28,330,609,0
2025-01-28,333,587,0
2025-01-28,334,604,0
2025-01-28,342,598,0
2025-01-28,343,582,0
2025-01-28,344,581,0
2025-01-28,344,604,0
2025-01-28,347,578,0
2025-01-28,347,594,0
2025-01-28,330,691,0
2025-01-28,336,684,0
2025-01-28,338,697,0
2025-01-28,374,685,0
2025-01-28,332,711,0
2025-01-28,335,710,0
2025-01-28,336,710,0
2025-01-28,339,762,0
