lake,date,index_promedio
Amatitlán,2025-01-08,2.6221757
Amatitlán,2025-01-13,5.599992
Amatitlán,2025-01-18,6.096903
Amatitlán,2025-01-28,3.8071094
Amatitlán,2025-02-02,4.3357534
Amatitlán,2025-02-07,5.4003386
Amatitlán,2025-02-12,5.607627
Amatitlán,2025-02-22,2.866281
Amatitlán,2025-02-27,7.9542804
Amatitlán,2025-03-04,11.69345
Amatitlán,2025-03-09,4.5144076
Amatitlán,2025-03-14,6.672243
Amatitlán,2025-03-19,10.08982
Amatitlán,2025-03-24,12.210559
Amatitlán,2025-04-03,5.634642
Amatitlán,2025-04-08,2.855535
Amatitlán,2025-04-13,4.912002
Amatitlán,2025-04-15,5.143255
Amatitlán,2025-04-18,5.131158
Amatitlán,2025-04-28,6.070002
Amatitlán,2025-05-03,4.9358215
Amatitlán,2025-05-08,4.2424536
Amatitlán,2025-05-13,7.996193
Amatitlán,2025-06-14,4.5844164
Amatitlán,2025-07-17,3.8553808
Amatitlán,2025-07-22,4.147082
Amatitlán,2025-07-24,3.1925983
Amatitlán,2025-07-27,4.029834
Amatitlán,2025-08-01,4.885167
Amatitlán,2025-08-13,8.1239395
Atitlán,2025-02-07,14.396152
Atitlán,2025-02-12,5.412133
Atitlán,2025-02-22,5.649431
Atitlán,2025-02-27,5.84007
Atitlán,2025-03-04,4.3532715
Atitlán,2025-03-09,5.5953555
Atitlán,2025-03-14,5.3231163
Atitlán,2025-03-24,5.8830047
Atitlán,2025-03-26,4.9581356
Atitlán,2025-03-29,3.3348405
Atitlán,2025-04-03,6.476687
Atitlán,2025-04-13,4.9358544
Atitlán,2025-04-15,5.350741
Atitlán,2025-05-03,4.3813505
Atitlán,2025-05-08,4.9594812
Atitlán,2025-05-13,5.172988
Atitlán,2025-05-25,6.139962
Atitlán,2025-05-28,3.752884
Atitlán,2025-07-02,4.8474545
Atitlán,2025-07-12,5.8813276
Atitlán,2025-07-22,5.510626
Atitlán,2025-07-24,6.1504183
Atitlán,2025-08-01,3.923947
