date,mean,median,p90,std,water_px,timestamp_s,date_ordinal,doy,year,month,day
2025-01-08,1.4011256694793701,1.2598679065704346,3.1437692642211914,1.3123964071273804,40,1736294400,739259,8,2025,1,8
2025-01-13,24.045692443847656,25.66489028930664,32.93019104003906,9.674567222595215,97,1736726400,739264,13,2025,1,13
2025-01-18,16.70830535888672,17.325008392333984,23.77817726135254,6.362928867340088,107,1737158400,739269,18,2025,1,18
2025-01-28,1.7660430669784546,1.3137935400009155,4.749265193939209,1.8545825481414795,12,1738022400,739279,28,2025,1,28
2025-02-02,3.249406576156616,3.9062864780426025,4.798243999481201,1.6943978071212769,443,1738454400,739284,33,2025,2,2
2025-02-07,2.699183225631714,2.678255319595337,4.4826812744140625,2.855400800704956,26,1738886400,739289,38,2025,2,7
2025-02-12,20.326637268066406,13.926054954528809,48.72608947753906,18.699501037597656,8397,1739318400,739294,43,2025,2,12
2025-02-22,4.5253753662109375,4.6188859939575195,5.132151126861572,1.2320481538772583,1141,1740182400,739304,53,2025,2,22
2025-02-27,12.948698043823242,12.461766242980957,21.916418075561523,6.753508567810059,15817,1740614400,739309,58,2025,2,27
2025-03-04,33.30491256713867,31.935848236083984,52.364158630371094,13.093155860900879,27218,1741046400,739314,63,2025,3,4
2025-03-09,8.908927917480469,5.481024742126465,20.928497314453125,8.090628623962402,12533,1741478400,739319,68,2025,3,9
2025-03-14,9.341779708862305,7.295751094818115,17.367504119873047,6.350417137145996,11524,1741910400,739324,73,2025,3,14
2025-03-19,19.305288314819336,18.50678253173828,28.851085662841797,6.663026809692383,24142,1742342400,739329,78,2025,3,19
2025-03-24,23.689531326293945,21.26882553100586,39.018795013427734,10.239056587219238,30112,1742774400,739334,83,2025,3,24
2025-04-03,14.78062915802002,13.963333129882812,26.997127532958984,9.458203315734863,8576,1743638400,739344,93,2025,4,3
2025-04-08,3.3686270713806152,3.7581701278686523,4.670421123504639,1.3383309841156006,594,1744070400,739349,98,2025,4,8
2025-04-13,5.1148576736450195,4.90064811706543,5.4525933265686035,1.2400914430618286,5110,1744502400,739354,103,2025,4,13
2025-04-15,6.2015557289123535,4.793015480041504,11.111480712890625,2.9114372730255127,1916,1744675200,739356,105,2025,4,15
2025-04-18,5.507598876953125,4.926809787750244,6.558668613433838,2.1873233318328857,8125,1744934400,739359,108,2025,4,18
2025-04-28,8.497123718261719,5.950747489929199,16.93560218811035,5.453822135925293,8044,1745798400,739369,118,2025,4,28
2025-05-03,7.805726051330566,5.414203643798828,15.345263481140137,5.1100640296936035,27122,1746230400,739374,123,2025,5,3
2025-05-08,6.631833553314209,5.928802490234375,10.79615592956543,3.0716209411621094,28748,1746662400,739379,128,2025,5,8
2025-05-13,9.75733757019043,7.987042427062988,17.59417724609375,5.724602222442627,21781,1747094400,739384,133,2025,5,13
2025-06-14,30.378589630126953,29.459421157836914,46.26747512817383,11.484977722167969,554,1749859200,739416,165,2025,6,14
2025-07-17,4.379523754119873,4.6006879806518555,4.8530707359313965,0.8121007680892944,214,1752710400,739449,198,2025,7,17
2025-07-22,4.361398696899414,4.749511241912842,4.9772844314575195,1.1630350351333618,319,1753142400,739454,203,2025,7,22
2025-07-24,4.412871360778809,4.815311431884766,5.269584655761719,1.2442840337753296,2114,1753315200,739456,205,2025,7,24
2025-07-27,4.630992412567139,4.798646450042725,5.088797569274902,0.8404865264892578,596,1753574400,739459,208,2025,7,27
2025-08-01,4.300693035125732,3.6817736625671387,4.7455620765686035,6.116401195526123,1062,1754006400,739464,213,2025,8,1
2025-08-13,19.69635772705078,18.080944061279297,33.36954116821289,10.055790901184082,2984,1755043200,739476,225,2025,8,13
